Title,Link
Google's Privacy Sandbox accused of misleading Chrome browser users (theregister.com),https://www.theregister.com/2024/06/13/noyb_gdpr_privacy_sandbox/
Mozilla Firefox blocks anti-Censorship and pro-Privacy extensions in Russia (lunduke.locals.com),https://lunduke.locals.com/post/5738970/mozilla-firefox-blocks-anti-censorship-and-pro-privacy-extensions-in-russia
You can help Anna's Archive by seeding torrents (annas-archive.org),https://annas-archive.org/torrents
Medieval game pieces emerge from the ruins of a German castle (artnet.com),https://news.artnet.com/art-world/medieval-game-pieces-emerge-from-the-ruins-of-a-mysterious-german-castle-2497815
Ask HN: What do you do on the weekend?,item?id=40672450
Faxes From the Far Side (2015) (damninteresting.com),https://www.damninteresting.com/faxes-from-the-far-side/
"Show HN: Restate – Low-latency durable workflows for JavaScript/Java, in Rust (restate.dev)",https://restate.dev/
Why Does Every AI Cycle Start with Chat? (matt-rickard.com),https://matt-rickard.com/why-does-every-cycle-start-with-chat
ChromeOS will soon be developed on large portions of the Android stack (chromium.org),https://blog.chromium.org/2024/06/building-faster-smarter-chromebook.html
AMD's MI300X Outperforms Nvidia's H100 for LLM Inference (tensorwave.com),https://www.blog.tensorwave.com/amds-mi300x-outperforms-nvidias-h100-for-llm-inference/
NASA accidentally broadcasts simulation of distressed astronauts (reuters.com),https://www.reuters.com/technology/space/nasa-accidentally-broadcasts-simulation-distressed-astronauts-space-station-2024-06-13/
"Martin-Baker Ejection Seat Made Its First of 7,722 Saves 75 Years Ago Today (twz.com)",https://www.twz.com/air/martin-baker-ejection-seat-made-its-first-of-7722-saves-75-yeats-ago-today
Jank's new persistent string is fast (2023) (jank-lang.org),https://jank-lang.org/blog/2023-12-30-fast-string/
Metaflora (metazooa.com),https://flora.metazooa.com
George Gorton Machine Co engraver typefaces (devroye.org),http://luc.devroye.org/fonts-80708.html
Mexico’s anti-avocado militias (theguardian.com),https://www.theguardian.com/news/article/2024/jun/11/inside-mexico-anti-avocado-militias
Can LLMs invent better ways to train LLMs? (sakana.ai),https://sakana.ai/llm-squared/
"Researchers make a supercapacitor from water, cement, and carbon black (bbc.com)",https://www.bbc.com/future/article/20240610-how-the-concrete-in-your-house-could-be-turned-into-a-battery
Jgs Font (adelfaure.net),https://adelfaure.net/tools/jgs/
When Water Flows Uphill [video] (2013) (youtube.com),https://www.youtube.com/watch?v=zzKgnNGqxMw
Show HN: A keyboard-centric clipboard history app for macOS (clipbook.app),https://clipbook.app/
"Elixir 1.17 released: set-theoretic types in patterns, durations, OTP 27 (elixir-lang.org)",https://elixir-lang.org/blog/2024/06/12/elixir-v1-17-0-released/
"Josep Rull, former political prisoner, new President of Parliament of Catalonia (vilaweb.cat)",https://www.vilaweb.cat/noticies/josep-rull-a-former-political-prisoner-is-the-new-president-of-the-parliament-of-catalonia/
Author Clock: a novel way to tell time (authorclock.com),https://www.authorclock.com/
Gruen transfer (wikipedia.org),https://en.wikipedia.org/wiki/Gruen_transfer
Satellite data show electromagnetic anomalies 19 days before Turkey earthquake (phys.org),https://phys.org/news/2024-06-satellite-reveal-electromagnetic-anomalies-days.html
Wild horses reintroduced to Kazakhstan steppes after absence of two centuries (theguardian.com),https://www.theguardian.com/environment/article/2024/jun/10/przewalskis-horses-only-wild-species-return-central-asian-steppes-kazakhstan
The Geometry of Categorical and Hierarchical Concepts in Large Language Models (arxiv.org),https://arxiv.org/abs/2406.01506
POV-Ray – The Persistence of Vision Raytracer (2021) (povray.org),http://www.povray.org/
How Alexa dropped the ball on being the top conversational system (mihaileric.com),https://www.mihaileric.com/posts/how-alexa-dropped-the-ball-conversational-ai/
Swedish company launches bio-based plastic derived from forest residues (packagingeurope.com),https://packagingeurope.com/news/swedish-company-launches-bio-based-plastic-derived-from-forest-residues/11459.article
Pyrophone (wikipedia.org),https://en.wikipedia.org/wiki/Pyrophone
Is the Future of Moore's Law in a Particle Accelerator? (ieee.org),https://spectrum.ieee.org/euv-fel
How much of a genius-level move was binary space partitioning in Doom? (2019) (twobithistory.org),https://twobithistory.org/2019/11/06/doom-bsp.html
Decade of the Battery (noahpinion.blog),https://www.noahpinion.blog/p/decade-of-the-battery-334
"Edward C. Stone, 1936-2024 (caltech.edu)",https://www.caltech.edu/about/news/edward-stone-1936-2024
The Cast Iron Gallery (castirongallery.com),https://castirongallery.com/
"Water is bursting from another abandoned West Texas oil well, continuing a trend (texastribune.org)",https://www.texastribune.org/2024/06/11/west-texas-orphan-wells-water-bursts/
Ray Tracing with POV-Ray: 25 Scenes in 25 Days (github.com/susam),https://github.com/susam/pov25
AES-GCM and breaking it on nonce reuse (frereit.de),https://frereit.de/aes_gcm/
Ask HN: What is a good web/SaaS alternative to Adobe lightroom?,item?id=40672899
Some people with insomnia think they're awake when they're asleep (scientificamerican.com),https://www.scientificamerican.com/article/some-people-with-insomnia-think-theyre-awake-when-theyre-asleep/
Noam Chomsky 'no longer able to talk' after 'medical event' (independent.co.uk),https://www.independent.co.uk/arts-entertainment/books/news/noam-chomsky-health-update-tributes-b2559831.html
Apple unveils 'Passwords' manager app at WWDC 2024 (zdnet.com),https://www.zdnet.com/article/forget-lastpass-apple-unveils-passwords-manager-app-at-wwdc-2024/
OpenBSD Extreme Privacy Setup (dataswamp.org),https://dataswamp.org/~solene/2024-06-08-openbsd-privacy-setup.html
Nvidia-patch: removes restriction simultaneous video encoding sessions (github.com/keylase),https://github.com/keylase/nvidia-patch
Show HN: Revideo – Create Videos with Code (github.com/redotvideo),https://github.com/redotvideo/revideo
Wild New Study Suggests Gravity Can Exist Without Mass (sciencealert.com),https://www.sciencealert.com/wild-new-study-suggests-gravity-can-exist-without-mass
"Show HN: Unforget, the note-taking app I always wanted: offline first, encrypted (computing-den.com)",https://unforget.computing-den.com/demo
Nvidia Conquers Latest AI Tests (ieee.org),https://spectrum.ieee.org/mlperf-nvidia-conquers
Possible exposure of Earth to dense interstellar medium 2-3M years ago (nature.com),https://www.nature.com/articles/s41550-024-02279-8
Making iron gall ink from oak galls (nyanpasu64.gitlab.io),https://nyanpasu64.gitlab.io/blog/iron-gall-ink/
"Chinese yuan becomes Russia's main foreign currency, replacing dollar and euro (unn.ua)",https://unn.ua/en/news/the-chinese-yuan-officially-became-russias-main-foreign-currency-replacing-the-dollar-and-the-euro
How David Bohm and Hugh Everett changed quantum theory (jstor.org),https://daily.jstor.org/how-two-rebel-physicists-changed-quantum-theory/
My Favourite Gleam Feature (erikarow.land),https://erikarow.land/notes/gleam-favorite-feature
pico9918: A replacement TMS9918A/TMS9929A VDP using a Raspberry Pi Pico (github.com/visrealm),https://github.com/visrealm/pico9918
Calm Company Fund Is Taking a Break (calmfund.com),https://calmfund.com/writing/pause
"Zürich, Switzerland Online Tree Registry (stadt-zuerich.ch)",https://www.maps.stadt-zuerich.ch/zueriplan3/Stadtplan.aspx?#route_visible=true&basemap=Stadtplan&map=&scale=8000&xkoord=2683299&ykoord=1247363&lang=&layer=Stadtbaum%3A%3A17&window=&selectedObject=&selectedLayer=&toggleScreen=&legacyUrlState=&drawings=
Long Covid Looks Like Acute Infection in the Brain (psychologytoday.com),https://www.psychologytoday.com/gb/blog/shouldstorm/202406/long-covid-looks-like-acute-infection-in-the-brain
The Discovery of Superconductivity (2010) (aip.org),https://pubs.aip.org/physicstoday/article/63/9/38/386608/The-discovery-of-superconductivityA-century-ago
London–Calcutta Bus Service (wikipedia.org),https://en.wikipedia.org/wiki/London%E2%80%93Calcutta_bus_service
Jeff Bezos on Stress (2001) [video] (youtube.com),https://www.youtube.com/watch?v=SQHmeRIhNtw
I like the RP2040 (dgroshev.com),https://dgroshev.com/blog/rp2040/
